Area,BHK,Parking,Price
850,2,1,5900000
140,3,1,12000000
900,3,1,12000000
1800,3,1,24000000
200,1,1,7000000
1782,3,1,15000000
900,2,1,1500000
405,2,1,3950000
1500,3,1,12500000
66,3,1,1600000
2000,4,2,36500000
1200,3,1,20000000
1100,2,1,15000000
1400,3,2,25000000
1600,3,2,18500000
1600,4,2,23500000
600,1,1,8000000
1600,3,1,23000000
2000,3,1,31000000
650,1,1,7400000
1100,2,1,15500000
1075,2,2,12000000
1450,3,2,23500000
1200,3,2,25000000
600,1,2,7000000
1000,2,1,17500000
1600,3,1,25000000
1750,4,1,29000000
1300,3,1,21900000
550,1,1,7500000
2200,4,2,23500000
1100,2,2,24000000
1700,3,2,31000000
1100,2,3,16500000
1000,2,1,5000000
1350,3,1,24000000
1184,2,1,17000000
2000,4,1,40000000
3500,4,5,22500000
900,3,2,20000000
4688,5,1,135000000
750,2,1,5000000
3901,4,1,93000000
950,3,1,4370000
1000,3,1,4620000
850,2,1,1900000
2400,4,1,70000000
1350,3,1,5130000
540,2,1,3000000
1387,4,1,5890000
540,2,1,3300000
976,2,1,24900000
1050,3,1,3700000
2700,4,1,60000000
1500,3,1,17400000
2900,5,1,51000000
5025,5,4,170000000
1000,3,1,5510000
1135,3,2,25000000
2306,3,1,57000000
850,2,1,2940000
1200,3,1,15500000
1700,3,1,17200000
1800,4,2,55000000
1100,2,1,15000000
22050,4,2,51000000
1550,4,1,13000000
1600,3,1,30000000
700,2,1,2400000
45,4,1,5500000
450,2,,2900000
540,5,,17000000
1350,3,,25000000
2250,3,,10000000
1250,2,,7500000
504,3,,3600000
65,3,,35000000
450,2,,6000000
1800,4,,17500000
1800,4,,35000000
1530,5,,10200000
1750,4,1,29000000
2210,4,1,41000000
760,3,1,6000000
400,2,1,2500000
380,1,1,2200000
904.1676,2,1,21500000
900,4,1,15000000
810,5,1,28900000
100,3,1,5500000
50,2,1,1950000
58,2,1,3800000
900,2,1,6200000
1650,4,1,14000000
1000,2,1,7500000
852,2,1,2670000
700,2,1,2500000
990,3,1,4000000
450,2,1,3500000
1000,2,1,5000000
1700,4,2,29500000
1350,3,1,19000000
2100,4,1,25500000
2600,4,3,75000000
3000,4,4,75000000
1450,3,1,34000000
2050,4,1,47500000
3000,4,3,75000000
1800,3,2,23000000
900,3,1,24000000
1500,3,2,21500000
1500,3,1,28500000
1800,4,1,12500000
1674,3,1,45000000
2025,4,2,30500000
1300,3,3,22500000
990,3,1,28000000
2100,3,2,25000000
2250,4,2,33700000
1500,3,1,27000000
2700,4,2,43500000
1700,3,2,29000000
1700,3,2,30000000
2050,4,2,52100000
1800,3,1,32500000
1500,3,1,20500000
2000,4,1,25000000
1500,3,2,30000000
24300,4,2,51000000
2475,4,1,31000000
1800,3,,37500000
1300,3,1,32500000
1500,3,4,37500000
2100,4,3,55000000
1800,4,2,87500000
1100,2,1,16300000
2035,4,2,65000000
1100,3,1,25000000
1550,3,1,38000000
700,2,1,15000000
150,2,1,2000000
540,1,1,3000000
810,2,1,8500000
3250,4,1,55000000
1600,3,2,22500000
4000,4,1,72500000
5500,6,1,160000000
900,3,1,12500000
972,2,1,17000000
4150,4,3,82500000
2250,4,2,55000000
1650,3,1,35000000
2610,4,2,42500000
600,2,1,4700000
1700,4,2,52500000
2250,4,3,80000000
880,3,1,11000000
4200,4,3,74000000
1450,3,1,37500000
2200,4,3,52500000
1620,3,,26000000
1078,3,1,15500000
1710,3,1,22000000
1150,3,1,21000000
450,2,1,5000000
1818,3,1,22000000
1800,3,1,26500000
780,2,1,8770000
405,1,1,4500000
900,2,1,8500000
807.2925,2,1,8600000
2700,4,1,42500000
1100,3,2,13100000
585,2,2,7000000
2152.78,3,2,30000000
960,2,2,13000000
1800,4,2,23100000
1100,3,1,16000000
900,2,1,12500000
1620,3,1,24500000
378,1,1,3200000
800,3,1,6300000
1350,3,1,15000000
850,3,1,5700000
1580,3,1,21000000
820,2,1,7500000
594,2,1,6500000
14220,3,1,27500000
800,3,1,12000000
1500,3,2,18000000
1600,3,1,15600000
1650,3,1,15500000
1600,3,1,15200000
1900,3,1,25000000
1400,3,1,15000000
1550,3,1,15800000
2000,4,1,31500000
1500,3,1,14000000
1550,3,1,13200000
1600,3,1,15800000
1600,3,1,16200000
1800,3,1,15500000
1470,3,1,14500000
1500,3,1,14900000
